file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-17T02:36:13.877.fits,1,1,48.0,1985.9,2096.0,2818.5,33.0686408477983,-21.36026462296813,33.19913947448215,-21.31127491649968,59596.10908906115,59596.10965042887,16483.0,,,,,
OMEGA.2022-01-17T02:36:13.877.fits,2,3,48.0,2818.8,2096.0,3651.3,33.20486653946348,-21.311270988445763,33.33528132265899,-21.26218030732297,59596.10967174778,59596.110231448896,16483.0,,,,,
OMEGA.2022-01-17T02:36:13.877.fits,3,6,48.0,3651.6,1184.0,4100.0,33.34126109535324,-21.262172156907067,33.41356257138535,-21.235688809600266,59596.1102536018,59596.11056226911,16483.0,,,,,
OMEGA.2022-01-17T02:36:13.877.fits,8,11,48.0,0.0,2096.0,800.5,33.47756711418616,-21.214468113588907,33.6078111868587,-21.167062997749923,59596.110831562895,59596.11138514802,16483.0,,,,,
OMEGA.2022-01-17T02:09:28.062.fits,11,1,48.0,3559.4,336.0,4200.0,37.41188190828396,-20.960984279510853,37.43023022808922,-20.923034326542545,59596.09044263791,59596.09044494899,15619.0,,,,,
OMEGA.2022-01-17T02:09:28.062.fits,16,2,48.0,3623.4,320.0,4200.0,37.54811109194272,-20.692885254115748,37.565375040948936,-20.658715892312824,59596.0904582059,59596.09045996098,15619.0,,,,,
OMEGA.2022-01-17T02:09:28.062.fits,5,4,704.0,0.0,2096.0,2914.6,37.18029065627419,-21.41116546957062,37.26941077361992,-21.23861629691921,59596.09041678393,59596.09042660101,15619.0,,,,,
OMEGA.2022-01-17T02:09:28.062.fits,6,5,48.0,3107.0,512.0,4100.0,37.27516640036587,-21.22722375572876,37.30482606116371,-21.1684220107766,59596.090427347925,59596.090430771,15619.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,17,1,864.0,4100.0,2096.0,3587.2,33.67894062209132,-21.231613808971822,33.75732575003839,-21.261971846340803,59596.10153258778,59596.101552134845,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,18,2,48.0,3523.4,2096.0,2690.4,33.763118235699324,-21.265749564263285,33.89349334498039,-21.314976412208917,59596.10155371623,59596.10158605082,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,19,3,48.0,2626.6,2096.0,1761.5,33.899545803680624,-21.318748973655023,34.03001480528972,-21.36977202878319,59596.101587632205,59596.1016199668,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,20,4,48.0,1697.7,2096.0,864.6,34.035881811095564,-21.3735400403821,34.166434605085094,-21.42255850832686,59596.10162154818,59596.10165360477,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,5,5,48.0,3619.5,2096.0,2786.5,33.08334765888459,-20.99489866818528,33.2132551713257,-21.04464441228275,59596.1013816339,59596.10141452495,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,6,8,48.0,2722.7,2096.0,1857.6,33.21896169556375,-21.04844043105396,33.34896115260656,-21.099987453397503,59596.10141610587,59596.10144927493,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,7,9,48.0,1793.8,2096.0,960.7,33.354927564990206,-21.10377939872127,33.48502638030454,-21.153326390863853,59596.10145085584,59596.1014834689,27390.0,,,,,
OMEGA.2022-01-17T02:24:04.785.fits,8,10,48.0,896.9,2096.0,63.8,33.49099846516602,-21.157113595265933,33.62119012067866,-21.206556717737666,59596.10148532782,59596.10151766287,27390.0,,,,,
OMEGA.2022-01-17T06:59:02.103.fits,18,1,1152.0,4100.0,1648.0,0.0,202.0905465278023,-47.87172390479349,202.13594787493776,-48.11466283444116,59596.29125510203,59596.291269279085,10766.0,,,,,
OMEGA.2022-01-17T06:59:02.103.fits,31,2,48.0,3399.2,2096.0,2053.7,202.17711571518683,-47.14450599845661,202.35645594953397,-47.223544186246905,59596.29101407621,59596.2910263068,44553.0,,,,,
OMEGA.2022-01-17T06:59:02.103.fits,32,3,48.0,1957.8,2096.0,580.2,202.36454725722623,-47.22919009535445,202.5444784617574,-47.30983701561207,59596.2910268642,59596.2910393728,44553.0,,,,,
OMEGA.2022-01-17T02:42:18.798.fits,24,1,48.0,3171.1,2096.0,4003.7,34.025974194753225,-21.017691023363604,34.15585893752744,-20.96797052269482,59596.113148386125,59596.113698077854,16483.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,11,1,1904.0,4200.0,2096.0,3463.0,44.837424654264666,-16.223824328414693,44.8492489265785,-16.267525267033648,59596.0600836589,59596.06008485798,116.0,,,,,
