file_name,extension,ID,x_start[px]_df1,x_start[px]_df2,y_start[px]_df1,y_start[px]_df2,x_end[px]_df1,x_end[px]_df2,y_end[px]_df1,y_end[px]_df2,ra_start[deg]_df1,ra_start[deg]_df2,dec_start[deg]_df1,dec_start[deg]_df2,ra_end[deg]_df1,ra_end[deg]_df2,dec_end[deg]_df1,dec_end[deg]_df2,JD_start[UTC]_df1,JD_start[UTC]_df2,JD_end[UTC]_df1,JD_end[UTC]_df2,norad_number_df1,norad_number_df2,angle_offset[deg]_df1,angle_offset[deg]_df2,pixel_offset[px]_df1,pixel_offset[px]_df2,range[m]_df1,range[m]_df2,phase_angle[deg]_df1,phase_angle[deg]_df2,ang_vel[deg/s]_df1,ang_vel[deg/s]_df2
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,12,1,1438.0,1232.0,715.0,100.0,2096.0,2096.0,2648.0,2662.2,,13.7454201,,0.9351784,,13.7966499,,1.0870843,,2459581.524951803,,2459581.525123188,,14590.0,,0.05,,37.8,,20104193.0,,88.21,,0.01158
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,12,2,1792.0,1792.0,3758.8,3778.8,2096.0,2096.0,3765.0,3783.3,,13.7786234,,1.1532818,,13.7966499,,1.1535489,,2459581.524993319,,2459581.525037069,,26038.0,,0.11,,3.6,,36847062.0,,88.15,,0.004768
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,13,3,48.0,48.0,3753.0,3719.5,1968.0,1968.0,4200.0,4200.0,,13.2943741,,1.414176,,13.4082239,,1.4426801,,2459581.525018801,,2459581.525344754,,21765.0,,0.83,,29.1,,37058334.0,,88.44,,0.004752
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,25,4,48.0,48.0,3767.0,3751.6,2096.0,2096.0,3799.0,3815.4,,13.8021053,,1.1516647,,13.9235468,,1.1554452,,2459581.52506328,,2459581.525399242,,26038.0,,0.82,,15.4,,36847108.0,,88.08,,0.004768
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,25,5,48.0,48.0,2923.0,2918.8,481.0,480.0,4200.0,4200.0,,13.8021052,,1.1022911,,13.8277221,,1.1782503,,2459581.525140564,,2459581.525226048,,14590.0,,0.04,,41.2,,20108868.0,,88.13,,0.01158
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,26,6,48.0,48.0,3801.0,3783.6,2096.0,2096.0,3831.0,3847.4,,13.9289428,,1.1535608,,14.0503834,,1.1573358,,2459581.525414116,,2459581.525750355,,26038.0,,0.81,,19.6,,36847184.0,,87.96,,0.004768
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,27,7,48.0,48.0,3832.0,3815.6,657.0,640.0,3842.0,3824.9,,14.0560164,,1.1554512,,14.0911199,,1.1559967,,2459581.525777769,,2459581.525862966,,26038.0,,0.09,,39.0,,36847234.0,,87.88,,0.004768
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,29,8,602.0,592.0,100.0,100.0,1996.0,1984.0,4200.0,4200.0,,13.8343636,,1.199652,,13.916915,,1.4427108,,2459581.525250096,,2459581.52552462,,14590.0,,0.1,,34.9,,20116112.0,,88.0,,0.01157
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,9,10,48.0,48.0,2278.1,2278.1,720.0,720.0,4200.0,4200.0,33.0828552840372,33.0839572,-20.83566809252036,-20.8347079,33.12569872165521,33.1269605,-20.721888928147003,-20.7209022,59581.04343163222,2459581.543431632,59581.04343366483,2459581.543433665,18650.0,18650.0,,0.39,,239.1,,604790.0,,80.35,,0.7071
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,13,1,832.0,832.0,100.0,100.0,2096.0,2096.0,3751.3,3751.3,33.1328321101216,33.1341294,-20.700424166831063,-20.6995214,33.21315264080968,33.2148253,-20.48425039104151,-20.4832726,59581.04343413422,2459581.543434134,59581.04343783483,2459581.543437835,18650.0,18650.0,,0.22,,242.5,,604797.0,,80.21,,0.7071
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,17,2,48.0,48.0,864.8,864.8,1968.0,1968.0,4100.0,4100.0,33.62704069077625,33.6270739,-21.42352757949056,-21.4233858,33.74873702737379,33.7491877,-21.231564191910124,-21.2315481,59581.04244501097,2459581.542445011,59581.042452048045,2459581.542452048,47693.0,47693.0,,0.42,,331.8,,1092868.0,,80.16,,0.3751
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,22,3,48.0,48.0,0.0,0.0,2096.0,2096.0,3587.2,3587.2,33.762672730757366,33.7630968,-21.21025946476484,-21.2102541,33.89213354342283,33.8929526,-20.99756850448844,-20.9974279,59581.042452794965,2459581.542452795,59581.04246038804,2459581.542460388,47693.0,47693.0,,0.54,,329.0,,1092679.0,,79.92,,0.3752
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,23,4,48.0,48.0,3715.6,3715.6,256.0,256.0,4100.0,4100.0,33.89803634964456,33.8989713,-20.99010913098067,-20.9898075,33.911116252543984,33.9121351,-20.96730061224348,-20.9669981,59581.04246057896,2459581.542460579,59581.04246150004,2459581.5424615,47693.0,47693.0,,1.83,,337.8,,1092587.0,,79.8,,0.3752
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,27,5,288.0,288.0,100.0,100.0,2096.0,2096.0,3206.8,3206.8,33.913403853723224,33.9141618,-20.964307035540976,-20.9644454,34.02696908378065,34.0284485,-20.77993871560756,-20.7800296,59581.04246169096,2459581.542461691,59581.04246817203,2459581.542468172,47693.0,47693.0,,0.05,,340.5,,1092514.0,,79.69,,0.3753
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,28,6,48.0,48.0,3335.2,3335.2,544.0,544.0,4200.0,4200.0,34.03316789402492,34.0342612,-20.77221064754124,-20.7724053,34.064422618734405,34.0655587,-20.720899095157293,-20.721057,59581.04246836295,2459581.542468363,59581.04247039603,2459581.542470396,47693.0,47693.0,,0.41,,330.9,,1092433.0,,79.56,,0.3753
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,32,8,752.0,752.0,100.0,100.0,2096.0,2096.0,2406.0,2406.0,34.07736608946704,34.0786773,-20.699435926927784,-20.6996217,34.16168776392127,34.163358,-20.562440602190904,-20.5626747,59581.04247114295,2459581.542471143,59581.04247595603,2459581.542475956,47693.0,47693.0,,0.01,,336.9,,1092364.0,,79.45,,0.3754
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,23,1,1740.0,1728.0,1879.0,1884.1,2096.0,2096.0,1901.0,1921.6,105.1974651412622,105.1942748,16.484894015597092,16.4800438,105.2194624293318,105.2170302,16.486217863840462,16.4822277,59581.13882149896,2459581.638821496,59581.138881219085,2459581.638875701,26880.0,26880.0,,2.39,,79.0,,37570857.0,,6.99,,0.004682
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,24,2,48.0,48.0,1907.0,1889.8,2096.0,2096.0,2027.0,2049.7,105.22520414603656,105.222714,16.486470166793534,16.4803329,105.3517342987873,105.3493514,16.49373096967874,16.4895346,59581.13889679685,2459581.638870127,59581.13924024487,2459581.6392141,26880.0,26880.0,,1.03,,90.1,,37571179.0,,7.01,,0.004682
