file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,PRES,FWHM,FWHM,RHUM,TAU0
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:35:59.042.astred.cal.fits,-84.0,15.82,3.03,744.2,744.1,0.73,0.73,26.0,0.001993
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,744.4,0.71,0.67,23.0,0.008348
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,-87.9,15.77,6.68,744.5,744.4,1.14,1.28,24.0,0.003651
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,-87.9,15.77,6.68,744.5,744.4,1.14,1.28,24.0,0.003651
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,743.4,0.58,0.75,15.0,0.004887
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,743.3,0.94,1.13,15.0,0.003141
OMEGA.2022-01-03T00:33:56.321.fits,-91.2,16.52,1.23,745.4,745.4,1.05,1.05,8.0,0.002014
OMEGA.2022-01-03T01:11:55.387.fits,-91.3,16.51,3.83,745.5,745.5,0.71,0.7,10.0,0.0076
OMEGA.2022-01-03T01:11:55.387.fits,-91.3,16.51,3.83,745.5,745.5,0.71,0.7,10.0,0.0076
OMEGA.2022-01-03T01:11:55.387.fits,-91.3,16.51,3.83,745.5,745.5,0.71,0.7,10.0,0.0076
OMEGA.2022-01-03T01:11:55.387.fits,-91.3,16.51,3.83,745.5,745.5,0.71,0.7,10.0,0.0076
OMEGA.2022-01-03T01:18:01.318.fits,-91.3,15.98,6.33,745.4,745.3,0.7,0.9,11.0,0.005522
OMEGA.2022-01-03T01:18:01.318.fits,-91.3,15.98,6.33,745.4,745.3,0.7,0.9,11.0,0.005522
OMEGA.2022-01-03T01:18:01.318.fits,-91.3,15.98,6.33,745.4,745.3,0.7,0.9,11.0,0.005522
OMEGA.2022-01-03T01:18:01.318.fits,-91.3,15.98,6.33,745.4,745.3,0.7,0.9,11.0,0.005522
