file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-17T02:24:04.785.fits,17,1,864.0,4100.0,2096.0,3587.2,0.04766
OMEGA.2022-01-17T02:24:04.785.fits,18,2,48.0,3523.4,2096.0,2690.4,0.04784
OMEGA.2022-01-17T02:24:04.785.fits,19,3,48.0,2626.6,2096.0,1761.5,0.04804
OMEGA.2022-01-17T02:24:04.785.fits,20,4,48.0,1697.7,2096.0,864.6,0.04825
OMEGA.2022-01-17T02:24:04.785.fits,5,5,48.0,3619.5,2096.0,2786.5,0.04683
OMEGA.2022-01-17T02:24:04.785.fits,6,8,48.0,2722.7,2096.0,1857.6,0.04703
OMEGA.2022-01-17T02:24:04.785.fits,7,9,48.0,1793.8,2096.0,960.7,0.04723
OMEGA.2022-01-17T02:24:04.785.fits,8,10,48.0,896.9,2096.0,63.8,0.04742
OMEGA.2022-01-17T06:59:02.103.fits,31,2,48.0,3399.2,2096.0,2053.7,0.1375
OMEGA.2022-01-17T06:59:02.103.fits,32,3,48.0,1957.8,2096.0,580.2,0.1374
OMEGA.2022-01-19T04:27:33.607.fits,16,2,48.0,4200.0,2096.0,3431.0,0.1362
OMEGA.2022-01-19T04:27:33.607.fits,29,4,48.0,3367.2,2096.0,2630.2,0.1358
OMEGA.2022-01-19T04:27:33.607.fits,30,5,48.0,2566.4,2096.0,1829.4,0.1355
OMEGA.2022-01-19T04:27:33.607.fits,31,7,48.0,1765.6,2096.0,996.6,0.1351
OMEGA.2022-01-19T04:27:33.607.fits,32,8,48.0,964.8,2096.0,195.8,0.1347
OMEGA.2022-01-19T01:58:42.111.fits,17,1,1888.0,4100.0,880.0,0.0,0.2864
OMEGA.2022-01-19T01:58:42.111.fits,22,2,832.0,4100.0,48.0,864.8,0.2865
OMEGA.2022-01-19T01:58:42.111.fits,26,3,1840.0,4200.0,832.0,100.0,0.2865
OMEGA.2022-01-19T01:58:42.111.fits,30,5,2096.0,804.4,1920.0,100.0,0.2866
OMEGA.2022-01-19T01:58:42.111.fits,31,6,784.0,4200.0,48.0,1125.0,0.2866
OMEGA.2022-01-22T04:46:34.403.fits,1,1,1456.0,0.0,2096.0,1793.5,0.01274
OMEGA.2022-01-22T04:46:34.403.fits,11,2,208.0,100.0,1664.0,4200.0,0.01264
OMEGA.2022-01-22T04:46:34.403.fits,16,4,48.0,1157.0,1120.0,4200.0,0.0126
OMEGA.2022-01-22T04:46:34.403.fits,6,7,880.0,0.0,2096.0,3427.1,0.01269
OMEGA.2022-01-22T04:46:34.403.fits,7,8,48.0,3651.6,192.0,4100.0,0.01266
OMEGA.2022-01-22T03:14:15.347.fits,30,1,1552.0,1949.3,2096.0,1957.6,0.004619
OMEGA.2022-01-22T03:14:15.347.fits,31,2,48.0,1957.8,2096.0,2085.7,0.004619
OMEGA.2022-01-22T03:14:15.347.fits,32,3,48.0,2053.9,1344.0,2138.2,0.004619
OMEGA.2022-01-22T01:02:06.275.fits,13,1,544.0,4200.0,336.0,100.0,0.4092
OMEGA.2022-01-22T01:02:06.275.fits,9,10,320.0,4200.0,128.0,100.0,0.4095
OMEGA.2022-01-22T08:05:58.167.fits,28,1,1840.0,4200.0,2096.0,2982.6,0.2754
OMEGA.2022-01-22T08:05:58.167.fits,32,2,928.0,4200.0,1760.0,100.0,0.276
OMEGA.2022-01-22T03:12:31.027.fits,15,1,880.0,1586.5,2096.0,1637.2,0.004619
OMEGA.2022-01-22T03:12:31.027.fits,16,2,48.0,1637.5,2096.0,1765.4,0.004619
OMEGA.2022-01-22T03:12:31.027.fits,29,3,48.0,1733.6,688.0,1775.6,0.004619
OMEGA.2022-01-22T03:10:45.887.fits,13,1,48.0,1317.2,2096.0,1445.1,0.004619
OMEGA.2022-01-03T08:01:32.026.fits,13,1,1952.0,4200.0,2096.0,3431.0,0.3884
OMEGA.2022-01-03T08:01:32.026.fits,14,2,48.0,2854.7,544.0,100.0,0.3879
OMEGA.2022-01-03T08:01:32.026.fits,3,3,48.0,4003.9,768.0,0.0,0.385
OMEGA.2022-01-03T08:01:32.026.fits,6,4,1360.0,4100.0,2096.0,63.8,0.3861
OMEGA.2022-01-03T01:18:01.318.fits,19,1,1360.0,4100.0,48.0,256.2,0.479
OMEGA.2022-01-03T01:18:01.318.fits,23,2,2096.0,1793.5,1472.0,0.0,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,24,3,752.0,4100.0,48.0,2050.0,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,28,4,2096.0,4007.6,768.0,100.0,0.4792
OMEGA.2022-01-03T01:11:55.387.fits,24,1,1536.0,4100.0,2096.0,3202.9,0.7213
OMEGA.2022-01-03T01:11:55.387.fits,27,2,1120.0,4200.0,2096.0,2630.2,0.7202
OMEGA.2022-01-03T01:11:55.387.fits,28,3,48.0,2470.3,1520.0,100.0,0.7208
OMEGA.2022-01-03T01:11:55.387.fits,30,4,496.0,4200.0,2096.0,1637.2,0.719
OMEGA.2022-01-03T04:26:59.650.fits,29,7,48.0,772.7,2096.0,420.1,0.004661
OMEGA.2022-01-03T04:26:59.650.fits,30,8,48.0,388.3,1776.0,100.0,0.004661
OMEGA.2022-01-03T00:33:56.321.fits,28,1,1472.0,3581.6,2096.0,3591.2,0.004768
OMEGA.2022-01-16T01:33:46.593.fits,16,1,224.0,4200.0,2096.0,3495.1,0.05531
OMEGA.2022-01-16T01:33:46.593.fits,29,2,48.0,3431.2,2096.0,2630.2,0.0555
OMEGA.2022-01-16T01:33:46.593.fits,30,3,48.0,2598.4,2096.0,1797.4,0.05569
OMEGA.2022-01-16T01:33:46.593.fits,31,4,48.0,1733.6,2096.0,964.6,0.05589
OMEGA.2022-01-16T01:33:46.593.fits,32,5,48.0,900.8,2096.0,100.0,0.05608
OMEGA.2022-01-16T01:11:56.269.fits,17,1,48.0,2146.1,1856.0,4100.0,0.7208
OMEGA.2022-01-16T01:11:56.269.fits,22,2,48.0,0.0,2096.0,2113.8,0.7212
OMEGA.2022-01-16T01:11:56.269.fits,23,3,48.0,2178.1,1872.0,4100.0,0.7215
OMEGA.2022-01-16T01:11:56.269.fits,27,4,1904.0,100.0,2096.0,291.9,0.7216
OMEGA.2022-01-16T01:11:56.269.fits,28,6,48.0,356.2,2096.0,2534.1,0.7219
OMEGA.2022-01-16T01:11:56.269.fits,4,7,48.0,0.0,2096.0,2081.8,0.7205
OMEGA.2022-01-16T01:05:51.698.fits,4,1,1840.0,4100.0,1760.0,0.0,0.3302
OMEGA.2022-01-16T01:05:51.698.fits,8,2,1904.0,3776.7,1840.0,0.0,0.3299
OMEGA.2022-01-25T05:20:54.592.fits,17,1,48.0,288.3,1424.0,0.0,0.004759
OMEGA.2022-01-25T05:20:54.592.fits,3,2,1088.0,977.2,2096.0,800.5,0.004758
