file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,FWHM,RHUM,TAU0
OMEGA.2022-01-17T02:24:04.785.fits,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512
OMEGA.2022-01-17T06:59:02.103.fits,-71.2,10.9,10.13,743.7,0.83,55.0,0.003744
OMEGA.2022-01-17T01:24:19.995.fits,-70.8,13.91,3.13,745.1,0.72,46.0,0.008883
OMEGA.2022-01-19T04:27:33.607.fits,-75.7,13.8,2.42,745.2,0.56,48.0,0.007041
OMEGA.2022-01-19T01:58:42.111.fits,-74.9,14.03,4.68,745.0,0.88,48.0,0.003822
OMEGA.2022-01-22T04:46:34.403.fits,-92.0,13.6,8.45,743.2,0.74,28.0,0.004791
OMEGA.2022-01-22T03:14:15.347.fits,-92.4,13.82,9.53,743.5,0.66,28.0,0.005378
OMEGA.2022-01-22T01:02:06.275.fits,-90.0,14.08,10.88,742.9,0.85,30.0,0.003647
OMEGA.2022-01-22T08:05:58.167.fits,-90.9,13.49,2.15,742.6,0.54,30.0,0.01325
OMEGA.2022-01-22T03:12:31.027.fits,-92.4,13.82,9.78,743.5,0.71,28.0,0.005487
OMEGA.2022-01-22T04:54:02.313.fits,-92.5,13.53,8.7,743.1,1.12,28.0,0.006071
OMEGA.2022-01-22T03:10:45.887.fits,-92.4,13.86,9.93,743.4,0.74,28.0,0.005142
OMEGA.2022-01-03T08:01:32.026.fits,-93.5,13.63,7.18,744.6,1.11,6.0,0.004505
OMEGA.2022-01-03T01:18:01.318.fits,-91.3,15.98,6.33,745.4,0.7,11.0,0.005522
OMEGA.2022-01-03T01:11:55.387.fits,-91.3,16.51,3.83,745.5,0.71,10.0,0.0076
OMEGA.2022-01-03T04:26:59.650.fits,-92.5,15.89,5.15,745.5,0.86,10.0,0.006344
OMEGA.2022-01-03T00:33:56.321.fits,-91.2,16.52,1.23,745.4,1.05,8.0,0.002014
OMEGA.2022-01-16T01:33:46.593.fits,-72.0,14.3,6.8,745.2,0.73,21.0,0.007491
OMEGA.2022-01-16T01:11:56.269.fits,-72.1,14.54,7.75,744.9,0.43,10.0,0.00583
OMEGA.2022-01-16T01:05:51.698.fits,-72.1,14.49,7.47,745.0,0.6,12.0,0.008583
OMEGA.2022-01-25T05:20:54.592.fits,-93.4,13.88,6.4,742.5,0.72,6.0,0.006269
OMEGA.2022-01-25T05:14:50.021.fits,-93.7,13.91,6.1,742.6,0.62,6.0,0.007081
OMEGA.2022-01-25T03:07:35.539.fits,-88.4,14.34,6.8,743.2,0.98,6.0,0.005672
OMEGA.2022-01-25T04:21:27.262.fits,-92.4,13.88,4.88,742.9,0.58,6.0,0.00827
OMEGA.2022-01-25T08:14:19.571.fits,-95.5,13.03,7.97,742.1,0.56,6.0,0.007319
OMEGA.2022-01-25T03:47:54.466.fits,-90.6,14.15,6.83,743.2,0.59,6.0,0.008185
OMEGA.2022-01-25T08:21:04.122.fits,-95.5,13.01,7.33,742.1,0.64,6.0,0.007219
OMEGA.2022-01-25T03:49:39.317.fits,-90.6,14.11,6.78,743.1,0.57,6.0,0.007602
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,0.73,9.0,0.014736
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,0.69,8.0,0.009854
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,0.69,7.0,0.010465
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,0.84,9.0,0.010509
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,0.75,8.0,0.016613
OMEGA.2022-01-09T00:57:12.382.fits,-77.2,13.84,7.4,745.3,0.96,34.0,0.005791
OMEGA.2022-01-09T01:31:30.618.fits,-76.5,13.21,5.75,745.6,0.71,38.0,0.00735
OMEGA.2022-01-26T08:07:16.556.fits,-93.9,13.82,7.2,742.9,1.06,6.0,0.003995
OMEGA.2022-01-26T05:00:53.938.fits,-94.7,14.65,7.5,743.4,0.88,10.0,0.006854
OMEGA.2022-01-26T04:12:07.539.fits,-94.7,15.13,8.82,743.5,1.09,9.0,0.003985
OMEGA.2022-01-26T01:17:51.352.fits,-93.9,14.63,6.65,743.5,0.74,10.0,0.004388
OMEGA.2022-01-26T03:29:32.063.fits,-94.7,15.13,8.4,743.8,0.8,10.0,0.003313
OMEGA.2022-01-26T03:47:46.116.fits,-95.7,15.48,8.38,743.7,1.18,7.0,0.003239
OMEGA.2022-01-27T01:15:52.153.fits,-92.5,15.04,6.83,744.6,0.79,8.0,0.0054
OMEGA.2022-01-27T00:46:55.409.fits,-92.6,15.38,8.43,744.5,0.89,4.0,0.004112
OMEGA.2022-01-27T01:21:56.444.fits,-92.9,15.18,6.28,744.8,0.79,7.0,0.004391
OMEGA.2022-01-27T03:55:20.289.fits,-92.8,15.71,1.48,745.1,0.68,7.0,0.014995
OMEGA.2022-01-27T01:09:47.582.fits,-92.5,15.02,7.35,744.7,0.93,6.0,0.00493
OMEGA.2022-01-27T04:01:24.760.fits,-92.6,15.9,1.7,745.1,0.58,8.0,0.014415
OMEGA.2022-01-27T06:44:26.807.fits,-92.9,14.6,0.78,744.0,0.76,8.0,0.011112
OMEGA.2022-02-01T01:19:35.475.fits,-90.9,12.02,1.33,743.7,0.57,8.0,0.016636
OMEGA.2022-02-01T01:07:26.523.fits,-90.3,12.03,1.65,743.6,0.43,8.0,0.017493
OMEGA.2022-02-01T02:47:28.440.fits,-88.8,11.7,3.5,744.0,0.62,25.0,0.009886
OMEGA.2022-02-01T01:13:30.954.fits,-90.3,12.0,1.58,743.6,0.59,8.0,0.017493
OMEGA.2022-02-01T01:38:14.148.fits,-92.2,12.09,4.13,743.6,0.48,8.0,0.012454
OMEGA.2022-01-13T00:46:07.341.astred.cal.fits,-67.2,15.15,8.07,745.6,1.24,32.0,0.006121
OMEGA.2022-01-13T06:42:17.793.astred.cal.fits,-67.6,14.77,1.33,745.1,0.59,30.0,0.017943
OMEGA.2022-01-13T02:16:30.627.astred.cal.fits,-63.9,14.97,3.55,746.4,0.5,30.0,0.007846
OMEGA.2022-01-13T02:34:44.599.astred.cal.fits,-64.1,14.93,5.7,746.3,0.55,29.0,0.008976
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,-64.1,14.91,4.38,746.4,0.59,28.0,0.00817
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,-67.6,14.79,1.27,745.2,0.62,29.0,0.015583
OMEGA.2022-01-08T04:30:31.115.astred.cal.fits,-80.1,13.91,4.0,745.1,0.92,16.0,0.009559
OMEGA.2022-01-08T02:47:50.119.astred.cal.fits,-81.9,14.38,4.63,745.1,1.22,13.0,0.00525
OMEGA.2022-01-08T07:33:36.496.astred.cal.fits,-81.1,13.89,4.9,744.2,0.65,16.0,0.006487
OMEGA.2022-01-08T08:08:42.272.astred.cal.fits,-81.4,14.2,7.05,744.1,0.68,24.0,0.006117
OMEGA.2022-01-08T07:39:40.827.astred.cal.fits,-81.1,13.79,5.45,744.2,0.69,18.0,0.005606
OMEGA.2022-01-08T02:53:55.149.astred.cal.fits,-81.9,14.55,3.73,745.2,1.17,14.0,0.0072
OMEGA.2022-01-08T04:24:26.654.astred.cal.fits,-80.1,13.82,4.15,745.0,0.75,16.0,0.00628
OMEGA.2022-01-08T03:57:58.470.astred.cal.fits,-79.7,14.16,4.72,745.2,0.47,14.0,0.013718
OMEGA.2022-01-11T06:44:58.104.fits,-72.4,12.09,9.75,744.7,0.54,24.0,0.006476
OMEGA.2022-01-11T08:06:27.669.fits,-63.7,11.59,10.57,744.4,0.7,26.0,0.004
OMEGA.2022-01-11T07:04:39.488.fits,-71.8,11.72,8.28,744.6,0.74,26.0,0.005198
OMEGA.2022-01-28T05:56:36.597.fits,-92.8,15.71,1.43,743.8,0.81,9.0,0.016888
OMEGA.2022-01-28T05:37:58.824.fits,-92.8,16.09,0.53,743.9,0.56,5.0,0.014723
OMEGA.2022-01-28T04:04:03.968.fits,-92.9,15.7,1.98,744.5,0.49,6.0,0.026309
OMEGA.2022-01-28T00:48:51.656.fits,-92.8,15.53,5.75,744.1,0.55,4.0,0.0063
OMEGA.2022-01-28T06:25:57.762.fits,-92.6,15.74,1.05,743.6,0.66,8.0,0.018
OMEGA.2022-01-28T08:16:44.071.fits,-93.3,14.34,1.35,743.0,0.53,11.0,0.01562
OMEGA.2022-01-28T03:04:55.278.fits,-91.8,15.68,2.45,744.7,0.5,7.0,0.017379
OMEGA.2022-01-28T01:14:00.010.fits,-92.8,15.61,6.33,744.2,0.84,3.0,0.006936
OMEGA.2022-01-28T01:32:13.553.fits,-92.7,15.58,5.33,744.4,0.74,5.0,0.010039
OMEGA.2022-01-28T01:58:56.878.fits,-92.5,15.25,4.83,744.5,0.74,8.0,0.0079
OMEGA.2022-01-28T03:30:36.453.fits,-92.5,15.8,2.0,744.6,0.55,6.0,0.020772
OMEGA.2022-01-28T04:54:27.987.fits,-92.7,15.88,1.2,744.2,0.66,7.0,0.029414
OMEGA.2022-01-28T03:06:39.858.fits,-91.8,15.82,2.5,744.7,0.54,6.0,0.019837
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,0.57,14.0,0.008158
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,0.67,11.0,0.007976
OMEGA.2022-01-10T01:23:14.692.fits,-72.0,13.18,6.35,745.6,0.46,8.0,0.007659
OMEGA.2022-01-10T05:04:04.280.fits,-74.0,12.39,7.88,745.5,0.53,9.0,0.007017
OMEGA.2022-01-10T01:41:28.076.fits,-75.5,12.75,5.72,745.7,0.61,12.0,0.006887
