,Unnamed: 0,file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],width,ang_vel[deg/s],IRSKY_TEMP,TEMP,WINDSP,PRES,FWHM,RHUM,TAU0,image_name
0,0,OMEGA.2022-01-17T02:36:13.877.fits,1,1,149.6,2054.28,2084.78,2794.74,2073.0,0.003028,-71.1,12.8,4.6,745.2,0.39,52.0,0.010469,OMEGA.2022-01-17T02:36:13.877.fits_strip_1_1.npy
1,1,OMEGA.2022-01-17T02:36:13.877.fits,2,3,57.67,2838.61,2084.27,3614.35,2171.0,0.003037,-71.1,12.8,4.6,745.2,0.39,52.0,0.010469,OMEGA.2022-01-17T02:36:13.877.fits_strip_2_3.npy
2,2,OMEGA.2022-01-17T02:36:13.877.fits,3,6,52.06,3652.41,1128.29,4063.31,1153.0,0.003044,-71.1,12.8,4.6,745.2,0.39,52.0,0.010469,OMEGA.2022-01-17T02:36:13.877.fits_strip_3_6.npy
3,3,OMEGA.2022-01-17T02:36:13.877.fits,8,11,57.95,10.83,2090.74,789.99,2178.0,0.003054,-71.1,12.8,4.6,745.2,0.39,52.0,0.010469,OMEGA.2022-01-17T02:36:13.877.fits_strip_8_11.npy
4,4,OMEGA.2022-01-17T02:09:28.062.fits,16,2,51.55,3633.53,320.42,4192.2,621.0,0.2249,-70.8,13.26,4.0,745.2,0.45,48.0,0.013455,OMEGA.2022-01-17T02:09:28.062.fits_strip_16_2.npy
5,5,OMEGA.2022-01-17T02:09:28.062.fits,5,4,739.91,67.99,2090.93,2913.56,3151.0,0.2243,-70.8,13.26,4.0,745.2,0.45,48.0,0.013455,OMEGA.2022-01-17T02:09:28.062.fits_strip_5_4.npy
6,6,OMEGA.2022-01-17T02:09:28.062.fits,6,5,52.78,3129.53,504.74,4071.74,1046.0,0.2244,-70.8,13.26,4.0,745.2,0.45,48.0,0.013455,OMEGA.2022-01-17T02:09:28.062.fits_strip_6_5.npy
7,7,OMEGA.2022-01-17T02:24:04.785.fits,17,1,915.46,4082.8,2087.92,3581.84,1276.0,0.04766,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_17_1.npy
8,8,OMEGA.2022-01-17T02:24:04.785.fits,18,2,56.49,3536.96,2089.95,2671.43,2211.0,0.04784,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_18_2.npy
9,9,OMEGA.2022-01-17T02:24:04.785.fits,19,3,50.91,2627.05,2087.09,1755.15,2216.0,0.04804,-71.1,13.05,4.33,745.2,0.39,49.0,0.013512,OMEGA.2022-01-17T02:24:04.785.fits_strip_19_3.npy
