,image_name,snr,alpha,beta,seeing,D,sat_altitude,npy_path
0,image_00001.fits,20,2.5,1.5,1.0,420,3240.37034920393,image_00001.npy
1,image_00002.fits,20,2.5,1.5,1.0,260,2549.509756796392,image_00002.npy
2,image_00003.fits,20,2.5,1.5,1.0,249,2494.994989974929,image_00003.npy
3,image_00004.fits,20,2.5,1.5,1.0,435,3297.7264895682297,image_00004.npy
4,image_00005.fits,20,2.5,1.5,1.0,96,1549.1933384829667,image_00005.npy
5,image_00006.fits,20,2.5,1.5,1.0,398,3154.362059117501,image_00006.npy
6,image_00007.fits,20,2.5,1.5,1.0,114,1688.194301613413,image_00007.npy
7,image_00008.fits,20,2.5,1.5,1.0,455,3372.6843908080104,image_00008.npy
8,image_00009.fits,20,2.5,1.5,1.0,297,2724.8853186877423,image_00009.npy
9,image_00010.fits,20,2.5,1.5,1.0,494,3514.256678161116,image_00010.npy
10,image_00011.fits,20,2.5,1.5,1.0,438,3309.0784215548592,image_00011.npy
11,image_00012.fits,20,2.5,1.5,1.0,269,2593.260495977988,image_00012.npy
12,image_00013.fits,20,2.5,1.5,1.0,112,1673.320053068151,image_00013.npy
13,image_00014.fits,20,2.5,1.5,1.0,186,2156.3858652847825,image_00014.npy
14,image_00015.fits,20,2.5,1.5,1.0,94,1532.9709716755892,image_00015.npy
15,image_00016.fits,20,2.5,1.5,1.0,48,1095.4451150103323,image_00016.npy
16,image_00017.fits,20,2.5,1.5,1.0,233,2413.503677229434,image_00017.npy
17,image_00018.fits,20,2.5,1.5,1.0,230,2397.91576165636,image_00018.npy
18,image_00019.fits,20,2.5,1.5,1.0,384,3098.386676965933,image_00019.npy
19,image_00020.fits,20,2.5,1.5,1.0,228,2387.467277262664,image_00020.npy
20,image_00021.fits,20,2.5,1.5,1.0,364,3016.6206257996714,image_00021.npy
21,image_00022.fits,20,2.5,1.5,1.0,466,3413.2096331752023,image_00022.npy
22,image_00023.fits,20,2.5,1.5,1.0,445,3335.4160160315832,image_00023.npy
23,image_00024.fits,20,2.5,1.5,1.0,325,2850.438562747845,image_00024.npy
24,image_00025.fits,20,2.5,1.5,1.0,62,1244.989959798873,image_00025.npy
25,image_00026.fits,20,2.5,1.5,1.0,445,3335.4160160315832,image_00026.npy
26,image_00027.fits,20,2.5,1.5,1.0,174,2085.665361461421,image_00027.npy
27,image_00028.fits,20,2.5,1.5,1.0,196,2213.5943621178653,image_00028.npy
28,image_00029.fits,20,2.5,1.5,1.0,76,1378.404875209022,image_00029.npy
29,image_00030.fits,20,2.5,1.5,1.0,231,2403.122968139583,image_00030.npy
30,image_00031.fits,20,2.5,1.5,1.0,424,3255.764119219941,image_00031.npy
